Kind,Name,PercentLackOfCohesion
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.IdiomaService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ItemAvaliacaoService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ItemPreferenciaService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.MapeamentoService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.NivelEscolaridadeService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.PerfilIdiomaService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.PerfilPreferenciaService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.PerfilService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.PreferenciaService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ResponsabilidadeService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.UnidadeService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.UsuarioService",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.AreaCapacitacaoServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.AreaPerfilServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ArquivoServiceImpl",50
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.AvaliacaoComportamentalService",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.AvaliacaoService",71
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ComissaoServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.CompetenciaServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ComportamentoServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.CursoCapacitacaoServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.DiagnosticoServiceImpl",66
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ExperienciaProfissionalServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.IdiomaServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ItemAvaliacaoServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ItemPreferenciaServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.MapeamentoServiceImpl",76
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.NivelEscolaridadeServiceImpl",19
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.PerfilIdiomaServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.PerfilPreferenciaServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.PerfilServiceImpl",61
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.PreferenciaServiceImpl",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.ResponsabilidadeServiceImpl",50
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.UnidadeMapeadaService",0
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.UnidadeServiceImpl",16
Public Class,"br.ufc.quixada.npi.gestaocompetencia.service.impl.UsuarioServiceImpl",0
